"site_code","year","SWE.0","SWE.1","SWE.2","SWE.3","SWE.4","SWE.5","PPT.0","PPT.1","PPT.2","PPT.3","PPT.4","PPT.5"
"ABEY",2018,42,201.508193969727,137.065567016602,303.311462402344,191.524597167969,64,37.3980017900467,96.5600040853024,94.7800052464008,138.294005870819,79.2070755362511,126.775970757008
"ABPZ",2018,11.6065578460693,150.655731201172,32.6393432617188,25.4590167999268,85.9344253540039,81.6885223388672,45.5430024564266,97.6570045948029,94.9890041947365,105.294004976749,66.6770867705345,110.159045636654
"ABVE",2018,13.6065578460693,63.5737686157227,12.3114757537842,0.770491778850555,39.7213096618652,20.5081977844238,46.9070017039776,98.5300031304359,96.2830056846142,107.008005976677,67.8760196864605,109.675977170467
"ACFL",2018,42,201.508193969727,137.065567016602,303.311462402344,191.524597167969,64,37.3980017900467,96.5600040853024,94.7800052464008,138.294005870819,79.2070755362511,126.775970757008
"ACGNT01",2018,28.967212677002,93.4918060302734,49.0491790771484,60.0983619689941,178.049179077148,70.9508209228516,34.5210011005402,102.509003788233,94.8040047287941,151.417007893324,89.1279729902744,137.676508069038
"AEBVG",2018,9.81967258453369,96.3442611694336,17.3278694152832,3.04918026924133,15.3114757537842,68.0819702148438,49.4630022346973,99.4510053992271,93.3890036642551,105.331004858017,70.3244685530663,110.407797247171
"AFOG",2018,11.6065578460693,150.655731201172,32.6393432617188,25.4590167999268,85.9344253540039,81.6885223388672,43.352001786232,97.7090036273003,95.4450054168701,112.74100497365,68.6327533721924,113.097776919603
"AGXLZ",2018,48.2950820922852,368.032775878906,154.29508972168,322.540985107422,274.688537597656,128.901641845703,43.6390019953251,98.2850040197372,95.1930052042007,111.297005772591,71.599712073803,112.38797301054
"AHQT",2018,13.6065578460693,63.5737686157227,12.3114757537842,0.770491778850555,39.7213096618652,20.5081977844238,46.9070017039776,98.5300031304359,96.2830056846142,107.008005976677,67.8760196864605,109.675977170467
"AHUK",2018,11.6065578460693,150.655731201172,32.6393432617188,25.4590167999268,85.9344253540039,81.6885223388672,43.352001786232,97.7090036273003,95.4450054168701,112.74100497365,68.6327533721924,113.097776919603
"AHYY",2018,13.6065578460693,63.5737686157227,12.3114757537842,0.770491778850555,39.7213096618652,20.5081977844238,46.9070017039776,98.5300031304359,96.2830056846142,107.008005976677,67.8760196864605,109.675977170467
"AMYCG",2018,1.81967222690582,46.1803283691406,16.5573768615723,0.721311450004578,68.6393432617188,15.2622947692871,35.7930016219616,95.9410035312176,94.0120040476322,145.052007704973,83.5164024829865,128.447162389755
"AMYT",2018,13.6065578460693,63.5737686157227,12.3114757537842,0.770491778850555,39.7213096618652,20.5081977844238,46.9070017039776,98.5300031304359,96.2830056846142,107.008005976677,67.8760196864605,109.675977170467
"APCV",2018,42,201.508193969727,137.065567016602,303.311462402344,191.524597167969,64,36.5730013251305,99.561004281044,99.1410057842731,149.587005674839,85.716201543808,133.52810806036
"APZE",2018,13.5737705230713,108.819671630859,36.9508209228516,0.704918026924133,17.3606567382812,67.8688507080078,50.1770017147064,99.366003215313,93.8090040683746,104.873006492853,68.8927067518234,109.858975499868
"AQPIX",2018,29.2459011077881,130.934432983398,46.8688507080078,21.2950820922852,79.7377014160156,106.672134399414,41.5890011489391,97.961003601551,93.796003729105,118.190005809069,72.003064095974,117.14915150404
"AQXKL",2018,0.786885261535645,32.2459030151367,3.04918026924133,0.524590134620667,10.6393442153931,66.8688507080078,41.4510019719601,97.4390045106411,94.4260046184063,118.939004063606,71.9289629459381,118.05010008812
