"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"1","0","0","0","0",-0.811225295066833,3083.4375,2.5,8.86471566430618e-20,0,"map_978_1_1",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.149938519320377,0,50.7252422808317,1.16304010300743e-20,1.45255404935669e-19,0,19.5454545454545,2.35073488677487e-21,1,978,1,"1","diploid","female"
"2","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.29524088273989e-19,0,"map_978_1_2",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.164090273857396,0,50.8487373103993,1.74209004396616e-20,2.13113832911081e-19,0,34.7272727272727,3.53840532221204e-21,1,978,1,"2","diploid","female"
"3","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.410939364826771,0.0495188363016632,"map_978_1_3",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.106950624156586,0,14.8314854736408,0.235397319609025,0.401288114832086,0.0149429021433312,36.5454545454545,0.00619834566796262,1,978,1,"3","diploid","female"
"4","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.397897140404329,0,"map_978_1_4",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.169209364025933,0,19.2532057598546,0.279541181271844,0.351084676717381,0,63.3636363636364,0.0116204712055874,1,978,1,"4","diploid","female"
"5","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.32138736644355,0,"map_978_1_5",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.0858847061057441,0.00883683167855319,15.7585120550964,0.258979660974134,0.314049301135561,0.01015025542309,50.5454545454545,0.00817561683457801,1,978,1,"5","diploid","female"
"6","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.401915278979099,0.0501637118501162,"map_978_1_6",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.136420406721961,0.00921470087141886,22.1894369092159,0.258383597081946,0.381687947778543,0.0138900854526124,64.9090909090909,0.0135167896177019,1,978,1,"6","diploid","female"
"7","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.384901347082063,0,"map_978_1_7",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.11736106394681,0,19.9598818183696,0.262827877822948,0.376968322567866,0.0040974018899741,80.9090909090909,0.01215636196145,1,978,1,"7","diploid","female"
"8","0","0","0","0",-0.811225295066833,3083.4375,2.5,6.48645483415596e-19,0,"map_978_1_8",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.144461027235578,0,50.7893954266382,8.59040078710899e-20,1.04593749586488e-18,0,25.9090909090909,1.74069720686185e-20,1,978,1,"8","diploid","female"
"9","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.6820615819344e-18,0,"map_978_1_9",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.151331640473112,0,50.7680231154851,1.91537606234076e-19,2.73243157099506e-18,0,28.6363636363636,3.87805707007668e-20,1,978,1,"9","diploid","female"
"10","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.430671161358325,0.0335957199436795,"map_978_1_10",4,60,500,0.2,2,65.6025007565816,20.4291164895652,20,5,0.1,0.1311561515769,0,16.7597687732083,0.160216225594262,0.418817346284628,0.00980571218062751,31.3636363636364,0.00534064949003664,1,978,1,"10","diploid","female"
"11","0","0","0","0",-0.811225295066833,3083.4375,2.5,8.93981248601564e-20,0,"map_978_2_1",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.178704783487984,0,50.7240255108009,1.15530357980493e-20,1.45854066340901e-19,0,20.5454545454545,2.33508627609733e-21,2,978,2,"1","diploid","female"
"12","0","0","0","0",-0.811225295066833,3083.4375,2.5,1.34292878743275e-19,0,"map_978_2_2",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.192506918311356,0,50.8444097235196,1.78909907649982e-20,2.20473962548198e-19,0,41.1818181818182,3.63387273516834e-21,2,978,2,"2","diploid","female"
"13","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.446365796222508,0,"map_978_2_3",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.165042157504416,0,14.9905177449044,0.244474250984181,0.409319123005223,0.00872975700287637,39.4545454545455,0.00653470708592217,2,978,2,"3","diploid","female"
"14","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.405836262854425,0.0792397744318498,"map_978_2_4",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.205287749641099,0,20.6408381015987,0.26403366752905,0.390474454005476,0.0267334359186977,60.8181818181818,0.0128702897646047,2,978,2,"4","diploid","female"
"15","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.36643269472491,0,"map_978_2_5",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.147525683609233,0.0165599941338215,17.8984601498339,0.231937183343599,0.33561629543895,0.0118754177023979,42.5454545454545,0.00887613201605286,2,978,2,"5","diploid","female"
"16","0","0","0","0",-0.811225295066833,3083.4375,2.5,0.389796915107751,0,"map_978_2_6",4,60,500,0.2,2,65.8815819579446,20.4135489498704,20,5,0.1,0.185653048758992,0.0112899785483144,18.7294961479434,0.317877001828969,0.362812340805632,0.00486621353683296,86.3636363636364,0.013008339889773,2,978,2,"6","diploid","female"
