"Ploidy_leveltriploid","geneticSexIDmale","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_T_initial","size_mean_final","n_T_final","n_S_final","longevity_90_final","n_S_lag_factor","SWE.mean","STB.mean","basal_area_density","n_T_final_gt_30_cm","cv_final_ten","index"
"0","0",-1,2800,"test_1_1",5,60,300,18.5003819856385,9.41873709584272,0.391079317319777,0.2,30.2499767623157,0.204355570920366,0.389996481612796,105,0.2,100,0,0.0188960333748578,0.100438191484808,0.00137369897204574,1
"0","0",-1,2800,"test_1_2",5,60,300,18.5003819856385,9.41873709584272,0.15389802919711,0.2,29.8997240170072,0.403983236343381,0.103043056160879,136,0.2,100,0,0.036973519534064,0.192886424802377,0.000257491083101899,1
"0","0",-1,2800,"test_1_3",5,60,300,18.5003819856385,9.41873709584272,0.376353618743806,0.2,28.1779662645239,0.750959244063593,0.0984704570804901,257,0.2,100,0,0.0644296953555354,0.328542647760383,0.0013962696262689,1
"0","0",-1,2800,"test_1_4",5,60,300,18.5003819856385,9.41873709584272,0.260836877414186,0.2,29.1274648308216,0.170177029369539,0.269894175071193,173,0.2,100,0,0.014939082984466,0.079059303720968,0.00266809232268573,1
"0","0",-1,2800,"test_1_5",5,60,300,18.5003819856385,9.41873709584272,0.0487441442606533,0.2,30.2204150621315,0.0883450077333896,0.0475193680909524,84,0.2,100,0,0.00813229645701688,0.0432294829123912,0.000114113879926559,1
"0","0",-1,2800,"test_1_6",5,60,300,18.5003819856385,9.41873709584272,0.610627584950107,0.2,29.7123354083589,0.384810806360077,0.468975124604847,117,0.2,100,0,0.0341382135863456,0.18360803721536,0.00176111166080482,1
"0","0",-1,2800,"test_1_7",5,60,300,18.5003819856385,9.41873709584272,1.16583713083752,0.2,28.9754032025376,0.361509854309256,0.714833205289403,97,0.2,100,0,0.0316929308478986,0.161405954733388,0.00217718538280487,1
"0","0",-1,2800,"test_1_8",5,60,300,18.5003819856385,9.41873709584272,0.812285766772948,0.2,25.2582551447744,0.657322935288823,0.1990036344466,224,0.2,100,0,0.0444970204585464,0.222057423002695,0.00412742754481619,1
"0","0",-1,2800,"test_1_9",5,60,300,18.5003819856385,9.41873709584272,0.131557329612689,0.2,26.7185468842374,0.283947067457564,0.122728595231351,255,0.2,100,0,0.0213839445239493,0.111343642000795,0.00122629316445864,1
"0","0",-1,2800,"test_1_10",5,60,300,18.5003819856385,9.41873709584272,0.370936522891761,0.2,29.4323979380391,0.150334016317316,0.392075792664874,150,0.2,100,0,0.0134129369090626,0.0699286230956233,0.00134978371790049,1
"0","1",-1,2800,"test_2_1",5,60,300,18.5003819856385,9.41873709584272,0.969541333260028,0.2,30.4037433384413,0.401172230981795,0.637346392186185,162,0.2,100,0,0.0375734781412761,0.200579333468791,0.0028606572005307,2
"0","1",-1,2800,"test_2_2",5,60,300,18.5003819856385,9.41873709584272,0.253434673392045,0.2,33.5181177141512,0.631371064577598,0.076140538162747,175,0.2,100,0,0.0678597442960453,0.376580707973993,0.00445046259399674,2
"0","1",-1,2800,"test_2_3",5,60,300,18.5003819856385,9.41873709584272,0.476359089450482,0.2,18.8079816657874,0.961134466718358,0.05825869784898,62,0.2,100,0,0.0393292782639933,0.183961387032277,9.75948801281475e-05,2
"0","1",-1,2800,"test_2_4",5,60,300,18.5003819856385,9.41873709584272,0.511554465082484,0.2,26.4881816425892,0.323280208796729,0.368460127423071,238,0.2,100,0,0.0241221338155228,0.12539181072386,0.00136752349484046,2
"0","1",-1,2800,"test_2_5",5,60,300,18.5003819856385,9.41873709584272,0.0891080606402738,0.2,30.1589545215432,0.228531892557812,0.0830494512564855,100,0.2,100,0,0.0210516734519876,0.111417663834144,0.00146163089079407,2
"0","1",-1,2800,"test_2_6",5,60,300,18.5003819856385,9.41873709584272,1.33789776850229,0.2,32.4348420804778,0.575302387837161,0.581900755834522,163,0.2,100,0,0.0599074611858229,0.322018702056412,0.00616379628394373,2
"0","1",-1,2800,"test_2_7",5,60,300,18.5003819856385,9.41873709584272,2.19060292312452,0.2,34.2965411080212,0.435249310456639,0.941358554891501,105,0.2,100,0,0.0504610340073411,0.263694339493629,0.0133579297856787,2
"0","1",-1,2800,"test_2_8",5,60,300,18.5003819856385,9.41873709584272,1.41918923893736,0.2,22.5648752306292,0.915040023347984,0.108704295696318,140,0.2,100,0,0.0509238459955984,0.264016781575708,0.000151638056497813,2
"0","1",-1,2800,"test_2_9",5,60,300,18.5003819856385,9.41873709584272,0.249246448874779,0.2,28.1238601595672,0.413743713263868,0.176122102981135,305,0.2,100,0,0.0348141098248598,0.181737578793193,0.00158222599208971,2
"0","1",-1,2800,"test_2_10",5,60,300,18.5003819856385,9.41873709584272,0.866524963143646,0.2,28.1057254414889,0.500589734784575,0.273612326494269,305,0.2,100,0,0.0422323909297097,0.22210138337649,0.00166437290665548,2
"1","0",-1,2800,"test_3_1",5,60,300,18.5003819856385,9.41873709584272,0.127995920558915,0.2,30.0037336576643,0.137471076068069,0.124246606460483,91,0.2,100,0,0.0125529447120013,0.0664608503640055,0.000501712871446639,3
"1","0",-1,2800,"test_3_2",5,60,300,18.5003819856385,9.41873709584272,0.0320326100338306,0.2,30.2176055705657,0.372852749600534,0.0235110669743895,116,0.2,100,0,0.0340893360664946,0.182749974754651,0.00196648131148519,3
"1","0",-1,2800,"test_3_3",5,60,300,18.5003819856385,9.41873709584272,0.156865995559757,0.2,27.9084800441943,0.622210175006264,0.0640693970623106,196,0.2,100,0,0.0493854853356467,0.26600401581736,0.0019213546305031,3
"1","0",-1,2800,"test_3_4",5,60,300,18.5003819856385,9.41873709584272,0.0755666657450563,0.2,29.7117434873992,0.114466676831721,0.0760215359551035,164,0.2,100,0,0.0103668067639841,0.0548779486098975,0.0036829508357274,3
"1","0",-1,2800,"test_3_5",5,60,300,18.5003819856385,9.41873709584272,0.0158380268044563,0.2,30.2862038892691,0.058891715651312,0.0126828706188515,80,0.2,100,0,0.00544075483661038,0.0289414660129125,6.64093895528956e-05,3
"1","0",-1,2800,"test_3_6",5,60,300,18.5003819856385,9.41873709584272,0.237209646648983,0.2,29.817612510789,0.292294504747601,0.218866277099311,111,0.2,100,0,0.0263327238958295,0.140493060639932,6.36351273859558e-05,3
"1","0",-1,2800,"test_3_7",5,60,300,18.5003819856385,9.41873709584272,0.280339324679459,0.2,30.337726511141,0.294150962071569,0.219777032482833,87,0.2,100,0,0.026934941539169,0.145341121774861,0.00246549737965361,3
"1","0",-1,2800,"test_3_8",5,60,300,18.5003819856385,9.41873709584272,0.367751497367012,0.2,27.4811565710053,0.59621285376296,0.114929606249926,206,0.2,100,0,0.0456876286447215,0.244978855461904,0.00259267751468999,3
"1","0",-1,2800,"test_3_9",5,60,300,18.5003819856385,9.41873709584272,0.049676611903529,0.2,27.9002566676867,0.21536622093397,0.0495358552504803,226,0.2,100,0,0.0171507345002741,0.0925909110774397,0.00129084163961161,3
"1","0",-1,2800,"test_3_10",5,60,300,18.5003819856385,9.41873709584272,0.0831894459281449,0.2,29.9053391333947,0.117339912674744,0.0861703892295028,149,0.2,100,0,0.0107436919475262,0.0562038619893591,0.00314656398315244,3
"1","1",-1,2800,"test_4_1",5,60,300,18.5003819856385,9.41873709584272,0.317320118898192,0.2,28.8009936663516,0.317575837967699,0.263861689773995,130,0.2,100,0,0.0270784011366972,0.142606878734327,0.00148031884717599,4
"1","1",-1,2800,"test_4_2",5,60,300,18.5003819856385,9.41873709584272,0.0527503445246915,0.2,29.2055628771776,0.535336961730058,0.0230777213330814,137,0.2,100,0,0.0477904906131767,0.242957627911837,0.00121893012409085,4
"1","1",-1,2800,"test_4_3",5,60,300,18.5003819856385,9.41873709584272,0.198548755981156,0.2,27.2697314925366,0.884008398159265,0.032195776900577,366,0.2,100,0,0.0680715153981032,0.374826826460234,0.00106627133072139,4
"1","1",-1,2800,"test_4_4",5,60,300,18.5003819856385,9.41873709584272,0.148201687033295,0.2,27.9106686289387,0.259456005100092,0.130175527148493,220,0.2,100,0,0.0208546060373621,0.111490502223696,0.000947586668338469,4
"1","1",-1,2800,"test_4_5",5,60,300,18.5003819856385,9.41873709584272,0.0289531363063231,0.2,29.8806667150578,0.182617451953641,0.0299067785051632,93,0.2,100,0,0.0165388095411629,0.0874440778469696,0.000226725723162457,4
"1","1",-1,2800,"test_4_6",5,60,300,18.5003819856385,9.41873709584272,0.519731280965339,0.2,30.4555311327027,0.470939367479503,0.314564979284147,151,0.2,100,0,0.0447414248761715,0.234676750521449,0.00379133538125731,4
"1","1",-1,2800,"test_4_7",5,60,300,18.5003819856385,9.41873709584272,0.526756377769858,0.2,28.5165774273542,0.362823713136093,0.32342136793027,93,0.2,100,0,0.0303434554598273,0.156355761914573,0.00496576839770383,4
